,0
125350,1
125380,1
125381,1
125444,1
125507,1
125632,1
125694,2
125695,1
125753,1
125754,1
125755,1
125816,1
125817,1
125878,4
125912,1
125936,1
125937,2
125946,1
125959,1
125961,1
125997,2
126056,4
126117,2
126178,1
126179,1
126180,1
126240,1
126242,1
126301,3
126362,1
126364,2
126488,1
126552,1
126613,1
126614,2
126678,1
126736,2
126738,1
126739,1
126797,1
126798,1
126859,1
126861,1
126987,1
126988,1
127049,1
127240,1
127513,3
128578,1
129029,1
129413,1
129683,1
129684,1
129919,1
130368,1
130558,1
130941,1
131096,1
131124,2
131228,1
131656,1
131659,1
131666,1
131674,1
131762,1
131764,1
131908,1
132015,1
132094,1
132095,1
132096,1
132099,1
132135,1
132136,3
132262,4
132322,1
132385,2
132386,1
132446,2
132447,1
132521,1
132630,1
132631,1
132633,2
132696,1
132714,1
132716,1
132717,4
132718,10
132726,2
132727,16
132784,1
132786,1
132787,2
132845,1
132847,3
0,4608
4480,64
6242,5
7717,3
46611,1
95116,15
95137,7
95168,1
95169,1
95174,3
95176,1
95177,1
95180,14
95480,1
95481,18
95886,15
95887,1
95890,2
97633,6
99761,1
102846,1
102875,1
103279,1
103290,1
103387,1
103407,2
103512,1
103574,1
103716,1
103722,1
103723,1
103890,1
103950,1
103952,1
103969,1
104014,1
104074,1
104075,1
104137,1
104267,1
104329,1
104649,1
104710,2
105094,1
105221,1
105539,1
105560,2
105600,1
105919,1
106046,1
106173,1
107133,1
107451,1
107857,2
110670,2
111415,1
112779,2
113837,8
113893,8
114526,7
115571,2
118320,3
120714,15
121481,1
121800,1
122050,1
122434,1
123226,3
125399,2
127379,1
127637,1
128464,1
128465,19
128472,1
128473,4
128474,12
128536,1
11713,1
12297,2
32303,1
66846,1
99830,1
99831,3
99863,2
99869,3
99875,15
100177,18
100582,13
100583,3
102331,6
107534,1
107978,1
107980,1
108112,3
108144,1
108210,1
108417,1
108424,1
108442,1
108462,1
108589,1
108716,1
108840,1
108967,1
109097,1
109349,1
109543,1
109603,1
109762,1
109795,1
110050,1
110207,1
110267,2
112570,3
115383,1
117494,2
118548,7
118604,8
119236,8
120286,1
123037,1
125427,1
125428,13
125518,2
125744,1
126063,1
126254,1
126635,1
126699,1
127943,2
130116,2
132093,1
132353,2
133025,1
133175,2
133177,4
133178,5
133179,4
133189,17
133315,1
10097,1
28863,1
36527,1
75633,2
75634,1
76061,1
76063,3
99787,16
99807,7
99846,3
99847,5
99848,17
100144,22
100554,8
102306,6
107954,1
108095,2
110269,1
112572,2
115386,2
117496,1
118545,8
118602,1
118603,5
119236,7
120290,2
123040,2
125426,14
125521,1
127951,3
130124,2
132362,2
133182,44
19102,2
28862,1
35932,1
39594,1
55735,1
76061,6
99779,1
99781,19
99801,7
99835,32
100130,23
100539,13
100540,3
102284,6
107495,1
107530,1
107781,1
108423,1
108695,3
108740,1
108815,1
108866,1
108929,1
109120,1
110143,1
110202,1
110863,1
113228,2
115914,2
116024,1
116534,1
118151,2
118510,7
118566,1
118567,6
119201,6
120816,2
121661,1
123246,2
125389,15
125917,1
126279,1
126345,1
126856,1
127112,1
128151,3
130389,2
133141,46
509,3
7500,6
9691,4
11102,1
35865,1
37563,2
54372,2
75616,3
75617,1
76044,6
99767,18
99786,7
99822,28
100119,23
100528,16
102273,6
108416,1
108692,2
110866,2
113232,2
115918,2
116547,5
118151,2
118507,6
118566,5
119201,5
120821,2
121725,2
123250,1
125390,2
125391,11
125923,2
128161,2
130399,2
133085,3
133145,45
133207,1
76070,3
99791,19
99811,7
99847,29
100143,23
100552,1
100553,11
100554,2
102299,6
